Name,Price,Comments,Rating,Link
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
"['Nokia 6.1 (2018) - Android One (Oreo) - 32 GB - Dual SIM Unlocked Smartphone (at&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.5"" Screen - White - U.S. Warranty Cell Phone Smart']",$359.99,-,-,https://www.newegg.com/Product/Product.aspx?Item=9SIA8X58DW5765&Description=Nokia%203.1%20-%20Android%20One%20%28Oreo%29%20-&cm_re=Nokia_3.1_-_Android_One_%28Oreo%29_--_-9SIA8X58DW5765-_-Product
['Apple iPhone 6s 64GB Unlocked GSM 4G LTE Dual-Core Phone w/ 12MP Camera - Spa...'],$284.99,-,-,https://www.newegg.com/Product/Product.aspx?Item=9SIAGT089K9077&cm_sp=SearchSuccess-_-INFOCARD-_-Apple+iPhone-_-9SIAGT089K9077-_-1&Description=Apple+iPhone
"['Microsoft Surface Pro 6 (LJK-00001) with Keyboard Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 128 GB SSD 12.3"" Touchscreen 2736 x 1824 Detachable 2-in-1 Laptop Windows 10 Home 64-Bit']",$799.99,1,5,https://www.newegg.com/Product/Product.aspx?Item=N82E16834735844&Description=Microsoft%20Surface%20Pro%206&cm_re=Microsoft_Surface_Pro_6-_-34-735-844-_-Product
['2018 Premium Flagship Lenovo 330 15.6 Inch HD Laptop |Intel Celeron Quad-Core N4100| 4GB DDR4 RAM | 500G HDD | Intel UHD Graphics 600 | WiFi | Bluetooth |HDMI | DVD-RW | 4-in-1SD Card | Windows 10'],$319.99,-,-,https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ7TA9449&Description=2018%20Newest%20Flagship%20Lenovo%20IdeaPad%20330%2015.6%22%20HD%20Anti-glare&cm_re=2018_Newest_Flagship_Lenovo_IdeaPad_330_15.6%22_HD_Anti-glare-_-9SIAEYJ7TA9449-_-Product
['Dell G5 15 Premium Gaming and Business Laptop (Intel 8th Gen i7-8750H Quad-Co...'],"$1,149.00",-,-,https://www.newegg.com/Product/Product.aspx?Item=9SIA7AB83U9423&cm_sp=SearchSuccess-_-INFOCARD-_-Dell+G5+Gaming-_-9SIA7AB83U9423-_-1&Description=Dell+G5+Gaming
['Panasonic Microwave Oven NN-SN651B  1.2 Cu. Ft Countertop Microwave with Inverter Technology'],$145.95,9,4,https://www.newegg.com/Product/Product.aspx?Item=N82E16896200417&Description=Panasonic%20Microwave%20Oven%20NN-SN651B%20Black&cm_re=Panasonic_Microwave_Oven_NN-SN651B_Black-_-96-200-417-_-Product
-,-,-,-,-
"['Honeywell RTH9580WF Wi-Fi Smart Thermostat w/ Customizable Color Touchscreen,...']",$128.99,26,4,https://www.newegg.com/Product/Product.aspx?Item=9SIA24G2U48673&cm_sp=SearchSuccess-_-INFOCARD-_-Honeywell-_-9SIA24G2U48673-_-1&Description=Honeywell
